Displacement:2	Points:0
4.11E-08	2.32
4.13E-08	2.328
4.16E-08	2.336
4.18E-08	2.344
4.21E-08	2.352
4.23E-08	2.36
4.26E-08	2.368
4.29E-08	2.376
4.31E-08	2.384
4.34E-08	2.392
4.36E-08	2.4
4.39E-08	2.408
4.41E-08	2.416
4.44E-08	2.424
4.47E-08	2.432
4.49E-08	2.44
4.52E-08	2.448
4.54E-08	2.456
4.57E-08	2.464
4.60E-08	2.472
4.62E-08	2.48
4.65E-08	2.488
4.67E-08	2.496
4.70E-08	2.504
4.73E-08	2.512
4.75E-08	2.52
4.78E-08	2.528
4.81E-08	2.536
4.83E-08	2.544
4.86E-08	2.552
4.89E-08	2.56
4.91E-08	2.568
4.94E-08	2.576
4.97E-08	2.584
4.99E-08	2.592
5.02E-08	2.6
5.05E-08	2.608
5.08E-08	2.616
5.10E-08	2.624
5.13E-08	2.632
5.16E-08	2.64
5.19E-08	2.648
5.21E-08	2.656
5.24E-08	2.664
5.27E-08	2.672
5.30E-08	2.68
5.32E-08	2.688
5.35E-08	2.696
5.38E-08	2.704
5.41E-08	2.712
5.43E-08	2.72
5.46E-08	2.728
5.49E-08	2.736
5.52E-08	2.744
5.55E-08	2.752
5.57E-08	2.76
5.60E-08	2.768
5.63E-08	2.776
5.66E-08	2.784
5.69E-08	2.792
5.72E-08	2.8
5.74E-08	2.808
5.77E-08	2.816
5.80E-08	2.824
5.83E-08	2.832
5.86E-08	2.84
5.89E-08	2.848
5.92E-08	2.856
5.94E-08	2.864
5.97E-08	2.872
6.00E-08	2.88
6.03E-08	2.888
6.06E-08	2.896
6.09E-08	2.904
6.12E-08	2.912
6.15E-08	2.92
6.18E-08	2.928
6.21E-08	2.936
6.23E-08	2.944
6.26E-08	2.952
6.29E-08	2.96
6.32E-08	2.968
6.35E-08	2.976
6.38E-08	2.984
6.41E-08	2.992
6.44E-08	3
6.47E-08	3.008
6.50E-08	3.016
6.53E-08	3.024
6.56E-08	3.032
6.59E-08	3.04
6.62E-08	3.048
6.65E-08	3.056
6.68E-08	3.064
6.71E-08	3.072
6.74E-08	3.08
6.77E-08	3.088
6.80E-08	3.096
6.83E-08	3.104
6.86E-08	3.112
6.89E-08	3.12
6.92E-08	3.128
6.95E-08	3.136
6.98E-08	3.144
7.01E-08	3.152
7.04E-08	3.16
7.07E-08	3.168
7.10E-08	3.176
7.13E-08	3.184
7.16E-08	3.192
7.19E-08	3.2
7.22E-08	3.208
7.25E-08	3.216
7.28E-08	3.224
7.31E-08	3.232
7.34E-08	3.24
7.38E-08	3.248
7.41E-08	3.256
7.44E-08	3.264
